Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
"Лодочки из кабачка, фаршированного шампиньонами",74.4 кКал,3.5 г,5 г,3.6 г,"Кабачок (Запекание): 900 г, Шампиньоны (Запекание): 400 г, Лук репчатый (Пассерование): 100 г, Подсолнечное масло: 10 г, Сыр российский, м.д.ж. 50% в сух. в-ве: 80 г, Майонез «Провансаль», 67% жирности: 30 г, Соль поваренная пищевая: 3 г"
Зелёное картофельное пюре с петрушкой и базиликом,96.6 кКал,2.3 г,2.9 г,15.2 г,"Картофель (Варка со сливом): 700 г, Вода: 700 г, Соль поваренная пищевая: 7 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 20 г, Молоко 2,5% жирности, пастеризованное (Кипячение): 100 г, Петрушка свежая (Припускание): 30 г, Базилик, свежий: 3 г"
Нежное рассыпчатое овсяное печенье на белках,153.9 кКал,13.7 г,2.3 г,20.4 г,"Яичный белок куриный (Запекание): 182 г, Эритрит: 98 г, Сахарозаменитель: эритрит + стевия: 3 г, Овсяная мука (Запекание): 62 г"
Буженина из индейки,116.7 кКал,18.8 г,4.1 г,1 г,"Морковь (Запекание): 50 г, Чеснок (Запекание): 3 г, Розмарин, сушеный: 1 г, Орегано, сушеный: 3 г, Соль поваренная пищевая: 5 г, Соевое масло: 2 г, Индейка, голень, только мясо: 450 г"
Картофельное пюре с рукколой,75.8 кКал,2.3 г,0.7 г,15 г,"Картофель (Варка со сливом): 700 г, Вода: 700 г, Соль поваренная пищевая: 7 г, Молоко 2,5% жирности, пастеризованное (Кипячение): 100 г, Руккола: 31 г"
Закуска,184.1 кКал,7.2 г,14.3 г,6.7 г,"Шайбочки капустные с нутом и кукурузой: 93 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 40 г, Огурец грунтовый: 30 г, Помидор (томат), парниковый: 40 г, Авокадо: 40 г, Семга с/с мурманская,филе,стейки: 40 г, Конопля, семя сушеное лущёное: 4 г, Кедровый орех, сушеный: 10 г, Зелень( укроп,петрушка,кинза,лук): 3 г"
Кабачковые оладьи,137 кКал,5 г,6.3 г,15 г,"Кабачок (Жарка): 712 г, Лук репчатый (Жарка): 26 г, Яйцо куриное (Жарка): 1 С0, Овсяные хлопья ""геркулес"" (Жарка): 82 г, Масло сливочное 72,5% жирности, крестьянское: 26 г, Яичный белок куриный (Жарка): 1 С0"
Шайбочки из говяжьей рульки,122.6 кКал,18.1 г,3.2 г,3.9 г,"Шайбочки из говяжьей голяшки, сырые: 800 г, Конопляное масло: 4 г"
Конопляшки `Алька`,386 кКал,22.5 г,28.9 г,12.8 г,"Конопляшки ""Алька"", тесто: 400 г, Конопляное масло: 4 г, Конопля, семя сушеное лущёное: 64 г"
"Конопляшки `Алька`, тесто",288.5 кКал,17.5 г,20.1 г,12.1 г,"Конопля, семя сушеное лущёное: 100 г, Яйцо куриное (Запекание): 160 г, Овсяные отруби: 30 г, Конопля, семя сушеное лущёное: 20 г, Лук репчатый, сушеный (Запекание): 10 г, Чеснок, порошок: 6 г, Конопляное масло: 20 г, Смесь без глютена для котлет и начинок Вегафарш: 50 г, Молоко миндальное: 100 г, Коллаген: 20 г"
Гречка в термосе без варки,64.5 кКал,2.6 г,0.7 г,11.9 г,"Гречневая крупа ядрица (Запекание): 80 г, Вода: 300 г, Соль поваренная пищевая: 5 г"
Сырники,217.1 кКал,17.9 г,7.3 г,19.4 г,"Творог 5% жирности (Запекание): 350 г, Изюм, золотистый, без косточек: 50 г, Рисовая мука, белая: 50 г, Апельсиновая цедра, сырая: 5 г, Кокосовое масло, для пищевой промышленности, для конфетной глазури, масляных спреев, жарки орехов: 10 г, Яйцо куриное (Жарка): 50 г"
Паштет печеночный,152.3 кКал,9.1 г,9.2 г,8 г,"Лук репчатый (Тушение): 100 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 25 г, Яблоко (Запекание): 100 г, Печень говяжья (Тушение): 200 г, Оливковое масло: 10 г, Морковь (Тушение): 100 г"
Соус к буженине,69.4 кКал,4.4 г,4.1 г,3.1 г,"Огурец грунтовый (Мытьё, нарезка): 40 г, Огурец соленый: 30 г, Лук зеленый (перо) (Мытьё, нарезка): 7 г, Укроп (Мытьё, нарезка): 3 г, Шпинат (Мытьё, нарезка): 8 г, Йогурт 3,2% жирности, 5% белка, натуральный: 140 г, Яичный желток куриный (Варка): 17 г"
Куриные наггенсы с кукурузными хлопьями,203.3 кКал,22.6 г,4.5 г,18.2 г,"Закончилось! Куриное филе кусочками - 800гр: 212 г, Яйцо куриное (Запекание): 70 г, Мука белая (корич упаковка): 20 г, Сухари с Чили (зелёная пачка)  - 40гр: 4 г, Кукурузные хлопья из интернета: 40 г"
Шайбочки говяжьи из антрекота с Адыгейской солью,133.6 кКал,21.4 г,4.3 г,2.2 г,"Шайбочки говяжьи, фарш: 400 г, Оливковое масло: 4 г"
"Шайбочки из свиной шейки с белыми грибами, с сыром моцарелла, с Адыгейской солью",355.1 кКал,16 г,31.4 г,1.6 г,"Шайбочки из свиной шейки с белыми грибами, с сыром моцарелла, с Адыгейской солью, фарш: 400 г, Кунжутное масло: 4 г"
Рыбный супчик `Рыбачка Алька`,60.4 кКал,4.7 г,3.3 г,2.8 г,"Вода: 2000 г, Рис белый длиннозерный, приготовленный с солью: 120 г, Форель, все виды: 120 г, Лосось атлантический (семга) (Варка): 100 г, Осетр, сибирский (Варка): 100 г, Палтус черный (Варка): 180 г, Камбала дальневосточная (Варка): 160 г, Креветка дальневосточная (мясо) (Варка): 200 г, Имбиря корень сырой: 40 г, Галангал (галанга): 30 г, Лемонграсс (цимбопогон), сырой: 50 г, Лук-шалот, сырой: 70 г, Чеснок (Варка без слива): 15 г, Перец чили красный острый (Варка без слива): 10 г, Рыбный соус: 40 г, Сок лимонный: 30 г, Сахар песок: 10 г, Зелень кориандра (кинза), сырая: 30 г, Оливковое масло: 30 г, Оливковое масло: 10 г"
Салат с морепродуктами `Альмаре`,190.4 кКал,13.2 г,13.7 г,3 г,"Руккола: 85 г, Морские гребешки,тигровые черные креветки припущенные с чесноком на двух маслах: 290 г, Алькина форель: 35 г, Помидор (томат), грунтовый: 100 г, Сыр моцарелла, с низким содержанием соли, м.д.ж. 34% в сух. в-ве: 50 г, Сыр тет де муан: 35 г, Авокадо: 85 г, Кедровый орех, сушеный: 20 г, Оливковое масло: 10 г, Оливковое масло: 20 г, Базилик, свежий: 5 г"
Запеканка из картофельного пюре  с рукколой и  овощами,118.1 кКал,8.5 г,5.7 г,8.3 г,"Картофельное пюре с рукколой: 100 г, Кабачки запечённые с помидорами и сладким перцем  с жареными луком и морковью: 70 г, Яйцо куриное (Запекание): 98 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 1 г, Сыр Лёгкий 35% [Брест Литовск]: 5 г, Руккола: 3 г, Горбуша соленая: 30 г"
Курица с грибами и орехами под сыром,174.3 кКал,20.2 г,9.5 г,1.7 г,"Куриная грудка (филе) (Запекание): 434 г, Шампиньоны (Запекание): 140 г, Лук репчатый (Запекание): 32 г, Оливковое масло: 7 г, Чеснок, порошок: 1 г, Паприка, перец сладкий молотый: 1 г, Соль поваренная пищевая: 3 г, Грецкий орех: 15 г, Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве: 50 г, Сыр голландский, круглый, м.д.ж. 50% в сух. в-ве: 60 г, Сметана 20% жирности (Запекание): 45 г"
МилБургер `Конопляшка с морепродуктами`,217.8 кКал,14.4 г,16.1 г,4.5 г,"Конопляшки ""Алька"": 50 г, Руккола: 15 г, Огурец грунтовый: 15 г, Авокадо: 40 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 20 г, Сыр сливочный 34,4% жирности, м.д.ж. 73% в сух. в-ве: 10 г, Палтус белокорый: 25 г, Форель с/с атлантическая: 30 г, Креветки припущенные в сливочном масле с чесноком: 10 г, Икра, черная и красная, зернистая, соленая: 40 г, Базилик, свежий: 2 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г, Сок лимонный: 5 г"
МилБургер `Конопляшка с мясными шайбочками`,230 кКал,14 г,17 г,5.8 г,"Конопляшки ""Алька"": 50 г, Руккола: 10 г, Помидор (томат), грунтовый: 30 г, Огурец грунтовый: 20 г, Майонез,19% жирности, безсолевой, низкокалорийный или диетический: 40 г, Шайбочки говяжьи из антрекота с Адыгейской солью: 77 г, Шайбочки из свиной шейки с белыми грибами, с сыром моцарелла, с Адыгейской солью: 70 г, Соус чили шрирача: 10 г, Сыр бри, м.д.ж. 54% в сух. в-ве: 30 г"
Творожно-шоколадные шарики с кокосом,117.2 кКал,12.5 г,3.2 г,10.1 г,"Банан: 100 г, Какао Золотой Ярлык [Красный Октябрь]: 10 г, Кокосовая Стружка [Ашан]: 10 г, Творог 0% [Яготинский]: 180 г"
Суп рыбный с картофелем и рисом,53.7 кКал,7.2 г,1.8 г,1.9 г,"Картофель (Варка без слива): 80 г, Морковь (Варка без слива): 40 г, Сельдерей (корень) (Варка без слива): 30 г, Лук репчатый (Варка без слива): 40 г, Вода: 1000 г, Рис коричневый (нешлифованный) среднезерный, приготовленный: 50 г, Палтус белокорый (Варка): 190 г, Семга с/с мурманская,филе,стейки: 150 г, Форель с/с атлантическая: 180 г, Муксун,полуфабрикат без головы и кожи: 130 г, Зелень кориандра (кинза), сырая: 30 г"
Салат из помидоров с грушей,110 кКал,1.1 г,9.6 г,4.1 г,"Помидор (томат), грунтовый (Мытьё, нарезка): 150 г, Груша (Мытьё, нарезка): 40 г, Руккола: 25 г, Базилик, свежий: 10 г, Соль поваренная пищевая: 1 г, Оливковое масло: 25 г, Перец чили, серрано: 15 г"
"Салат с рукколой, семгой, форелью, авокадо с каперсами и кедровыми орешками",231 кКал,8.2 г,20.8 г,2.9 г,"Руккола: 30 г, Авокадо: 40 г, Кедровый орех, сушеный: 20 г, Семга с/с мурманская,филе,стейки: 15 г, Форель с/с атлантическая: 15 г, Оливковое масло: 5 г, Каперсы, консервированные: 8 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г, Сок лимонный: 3 г"
Котлеты куриные,134.6 кКал,19.4 г,3.7 г,5.5 г,"Куриная грудка (филе) (Жарка): 645 г, Кабачок (Жарка): 171 г, Панировочные сухари: 48 г, Подсолнечное масло: 20 г, Соль поваренная пищевая: 3 г, Перец черный,  молотый или горошек: 2 dash"
"Коктейль банановый с молоком , пломбиром, медом",111.4 кКал,2.3 г,3.6 г,17.3 г,"Банан: 400 г, Молоко 3,5% жирности, пастеризованное: 300 г, Мороженое пломбир: 120 г, Мед пчелиный: 30 г"
Салат `Рыба на овощной базе`,156.1 кКал,9.3 г,12 г,2.5 г,"Салат ""Овощная база"": 320 г, Палтус белокорый: 100 г, Алькина форель: 60 г, Сыр тет де муан: 30 г, Сыр моцарелла, с низким содержанием соли, м.д.ж. 34% в сух. в-ве: 20 г, Кедровый орех, сушеный: 20 г, Соль поваренная пищевая: 0.5 г"
"Суп с фрикадельками свинины, говядины, с овощами и окрой",28.2 кКал,2.3 г,1.5 г,1.3 г,"Окра, сырая: 50 г, Шайбочки из свиной шейки с белыми грибами, с сыром моцарелла, с Адыгейской солью: 30 г, Шайбочки говяжьи из антрекота с Адыгейской солью: 48 г, Спаржа (Варка без слива): 10 г, Фасоль стручковая (Варка без слива): 20 г, Горошек зеленый свежий (Варка): 40 г, Лук порей (Варка без слива): 10 г, Вода: 600 г, Морковь (Варка без слива): 15 г"
"Йогурт с ягодами, орешками кешью и кедровыми, семечками тыквы, горьким шоколадом, красным киви",129.1 кКал,6.8 г,8.1 г,7.1 г,"Йогурт греческий 5% жирности, натуральный: 190 г, Малина: 43 г, Голубика: 30 г, Киви: 60 г, Кешью: 10 г, Тыквенные семечки, сушеные: 9 г, Шоколад горький: 8 г, Кедровый орех, сушеный: 10 г"
Пюре из цветной капусты со сливками,85.2 кКал,1.8 г,7.1 г,3.5 г,"Цветная капуста (Варка со сливом): 488 г, Вода: 1000 г, Сливки 10%: 60 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 40 г, Соль Адыгейская ""Абхазская"": 3 г, Соль поваренная пищевая: 3 г, Чеснок, порошок: 1 г, Чили, порошок: 0.3 г"
Домашние котлеты на пару с луком,214.9 кКал,29.4 г,11.9 г,0.5 г,"Фарш со специями из куриной грудки и бедра: 1040 г, Вода: 600 г"
Омлет с луком и сливками,161.5 кКал,11.7 г,12 г,1.7 г,"Яйцо куриное (Запекание): 602 г, Лук зеленый (перо) (Мытьё, нарезка): 28 г, Сливки 10%: 140 г, Соль Адыгейская ""Абхазская"": 5 г, Перец черный,  молотый или горошек: 1 г, Оливковое масло: 2 г"
"Салат из пекинской капусты, огурца, моркови, красного лука",43 кКал,1.1 г,2.2 г,4.7 г,"Морковь (Пассерование): 26 г, Лук репчатый (Пассерование): 100 г, Оливковое масло: 10 г, Пекинская капуста: 150 г, Огурец парниковый: 150 г, Помидор (томат), парниковый: 77 г, Соль поваренная пищевая: 4 г, Уксус яблочный: 4 г, Сахар песок: 4 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г, Перец душистый, молотый: 0.2 г, Перец черный,  молотый или горошек: 0.2 г"
Сырники с кокосом,181.5 кКал,15.8 г,8.1 г,11 г,"Яйцо куриное (Жарка): 2 С0, Сыр рикотта 10,2% жирности, из цельного молока, м.д.ж. 39% в сух. в-ве: 250 г, Творог 5% жирности (Жарка): 360 г, Рисовая мука диетическая (Жарка): 60 г"
Салат `Вариативный гуакамоле`,125.9 кКал,3.2 г,9.9 г,4.8 г,"Авокадо: 160 г, Помидор (томат), грунтовый: 250 г, Сыр плавленный сливочный (спред), 28,6% жирности, м.д.ж. 69% в сух. в-ве: 35 г, Лук-шалот, сырой: 25 г, Чеснок: 10 г, Кедровый орех, сушеный: 15 г, Майонез, с солью: 25 г, Соль поваренная пищевая: 0.5 г, Перец черный,  молотый или горошек: 0.3 г, Сыр пармезан, 36% белка, твердый, м.д.ж. 36% в сух. в-ве: 15 г, Маринованный халапеньо: 10 г"
"МилБургер `Конопляшка с говядиной, рикоттой``",168.1 кКал,13.8 г,9.6 г,7 г,"Шайбочки говяжьи из антрекота с Адыгейской солью: 77 г, Помидор (томат), грунтовый: 42 г, Сыр рикотта 10,2% жирности, из цельного молока, м.д.ж. 39% в сух. в-ве: 40 г, Соус чили шрирача: 5 г, Халапеньо: 12 г, Руккола: 10 г, Конопляшки ""Алька"": 50 г"
"Салат овощной с зеленью , орешками, семечками",70.5 кКал,2.3 г,4.9 г,4.4 г,"Салат   из  пекинской капусты, рукколы, огурцов, помидор: 200 г, Подсолнечник, семечки: 3 г, Грецкий орех: 3 г, Кедровый орех, сушеный: 3 г, Тыквенные семечки, сушеные: 3 г, Ягоды годжи, сушеные: 3 г"
Брауни,441.1 кКал,7 г,31.1 г,32.4 г,"Яйцо куриное (Запекание): 4 С1, Шоколад горький: 150 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 150 г, Какао-порошок: 1 Столовая ложка (&quo..., Сахар песок: 100 г, Соль поваренная пищевая: 1 г, Коньяк ординарный «три звездочки»: 5 г, Пшеничная мука, высшего сорта (Запекание): 2 Столовая ложка (&quo..."
Суп из шампиньонов на курином бульоне,70.4 кКал,4.1 г,2.8 г,6.9 г,"Бульон куриный: 1249 г, Шампиньоны (Варка без слива): 290 г, Лук репчатый (Варка без слива): 60 г, Морковь (Варка без слива): 30 г, Оливковое масло: 15 г, Картофель (Варка без слива): 210 г"
Творожно-рисовая запеканка в микроволновке,196.6 кКал,15.3 г,7.7 г,15.5 г,"Яйцо куриное (Запекание): 50 г, Яичный белок куриный (Запекание): 30 г, Творог 5% жирности (Запекание): 160 г, Сметана 15% жирности (Запекание): 45 г, Рис Круглозерный Шлифованный [Увелка]: 42 г, Рисовая мука, белая: 5 г, Мед пчелиный: 5 г, Заменитель Сахара N7 [Fit Parad]: 1 штука, Корица, молотая: 0.5 tsp, Мускатный орех, молотый: 0.1 tsp, Ванилин: 1 г, Разрыхлитель Теста [Haas]: 3 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 4 г"
Вафли творожные,222.6 кКал,14.4 г,7.6 г,24 г,"Творог 9% жирности (Запекание): 190 г, Яйцо куриное (Запекание): 2 С2, Молоко коровье сырое 3,6% жирности, фермерское (непастеризованное, нестрерилизованное, некипяченое) (Запекание): 50 г, Пшеничная мука, высшего сорта (Запекание): 77 г, Сахар песок: 1 Столовая ложка (&quo..., Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия: 5 г"
Салат,139.3 кКал,6.7 г,11.1 г,2.3 г,"Руккола: 40 г, Оливковое масло: 5 г, Форель с/с атлантическая: 20 г, Семга с/с мурманская,филе,стейки: 16 г, Авокадо: 40 г, Каперсы, консервированные: 11 г, Кедровый орех, сушеный: 6 г, Сок лимонный: 5 г, Помидор (томат), грунтовый: 30 г, Сыр голубой с плесенью, м.д.ж. 50% в сух. в-ве: 7 г"
Корейка свиная тушеная с овощами в устричном соусе,181.3 кКал,5.3 г,16.2 г,3.5 г,"Свинина, корейка мякоть (Тушение): 490 г, Оливковое масло: 50 г, Чеснок (Тушение): 15 г, Лук репчатый (Тушение): 120 г, Морковь (Тушение): 150 г, Кабачок (Тушение): 330 г, Перец сладкий красный (Тушение): 250 г, Вода: 100 г"
Суп из  осенней  мойвы с томатом и картофелем,151.3 кКал,7.6 г,12.2 г,3.1 г,"Мойва  осенняя: 310 г, Оливковое масло: 25 г, Пшеничная мука цельнозерновая: 25 г, Вода: 700 г, Лук репчатый (Варка без слива): 53 г, Морковь (Варка без слива): 8 г, Помидор (томат), парниковый (Варка без слива): 110 г, Перец сладкий красный (Варка без слива): 22 г, Соль поваренная пищевая: 6 г, Сахар песок: 2 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г, Перец душистый, молотый: 0.2 г, Перец черный,  молотый или горошек: 0.2 г, Руккола: 10 г, Базилик, свежий: 2 г"
"МилБургер `Конопляшка с форелью, рикоттой, авокадо и сыром Буррата``",219.3 кКал,16 г,15.2 г,4.8 г,"Конопляшки ""Алька"": 50 г, Сыр рикотта 7,9% жирности, из частично обезжиренного молока, м.д.ж. 31% в сух. в-ве: 30 г, Авокадо: 40 г, Сок лимонный: 2 г, Соль поваренная пищевая: 0.1 г, Перец черный,  молотый или горошек: 0.1 г, Семга с/с мурманская,филе,стейки: 40 г, Форель с/с атлантическая: 40 г, Зелень кориандра (кинза), сырая: 3 г, Каперсы, консервированные: 12 г, Сыр моцарелла, низкой влажности, м.д.ж. 37% в сух. в-ве: 30 г, Кедровый орех, сушеный: 5 г"
"Суп на курином бульоне  из свеклы, моркови,  цветной капусты, брокколи, картофеля",48.3 кКал,3 г,1.2 г,6.2 г,"Бульон куриный: 968 г, Лук репчатый (Жарка): 47 г, Морковь (Жарка): 41 г, Свекла (Варка без слива): 86 г, Перец сладкий красный (Варка без слива): 39 г, Картофель (Варка без слива): 58 г, Помидор (томат), парниковый (Варка без слива): 100 г, Свеклы листья (ботва свекольная): 23 г, Цветная капуста (Варка без слива): 33 г, Брокколи (Варка без слива): 33 г, Сахар песок: 2 г, Соль поваренная пищевая: 4 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г, Перец душистый, молотый: 0.2 г, Перец черный,  молотый или горошек: 0.2 г, Лавровый лист: 0.5 г, Руккола: 14 г, Базилик, свежий: 3 г"
Мини омлетики,173.5 кКал,10.8 г,10.8 г,8.3 г,"Яйцо куриное (Запекание): 7 С2, Молоко 2,5% жирности, пастеризованное (Запекание): 75 г, Перец сладкий красный (Запекание): 87 г, Оливки (маслины чёрные). Консервы: 20 г, Овсяная мука (Запекание): 50 г, Охотничьи колбаски: 40 г, Соль поваренная пищевая: 2 г"
Конопляшки льняные ` Алька`,304.3 кКал,15.6 г,20.6 г,13.1 г,"Конопляшки с семенами льна, тесто. ' Алька': 440 г, Конопляное масло: 2 г, Конопля, семя сушеное лущёное: 20 г, Семена льна: 8 г"
"Конопляшки кунжутно кедровые` Алька`,",363.8 кКал,17.8 г,27.5 г,13.9 г,"Конопляшки ""Алька"", тесто: 330 г, Кунжут, сушеный: 50 г, Кунжутная мука, полуобезжиренная: 50 г, Яйцо куриное (Запекание): 124 г, Мука с разрыхлителем без глютена: 50 г, Кедровый орех, сушеный: 100 г, Кефир 2,5% жирности (Запекание): 100 г"
Суп на курином бульоне с перловой крупой и солёными огурчиками,68.3 кКал,3.4 г,2.2 г,8.5 г,"Бульон куриный: 1270 г, Перловая крупа (Варка без слива рассыпчатая): 40 г, Морская капуста (ламинария) сушеная (Варка без слива): 2 г, Соль поваренная пищевая: 5 г, Сахар песок: 3 г, Лук репчатый (Жарка): 41 г, Оливковое масло: 10 г, Морковь (Жарка): 50 г, Перец сладкий красный (Варка без слива): 21 г, Помидор (томат), парниковый (Варка без слива): 45 г, Огурец соленый: 68 г, Картофель (Варка без слива): 118 г"
Бутерброд с тунцом творогом и авокадо,146.6 кКал,12.7 г,5 г,11.6 г,"Хлеб ржаной из обойной муки: 100 г, Творог 5% жирности: 80 г, Тунец натуральный. Консервы: 70 г, Авокадо: 70 г"
Паста цельнозерновая с тунцом и сыром,147.4 кКал,14.2 г,3.6 г,13.7 г,"Паста (макароны, спагетти) из цельнозерновой муки, приготовленная: 110 г, Тунец натуральный. Консервы: 80 г, Сыр пошехонский, м.д.ж. 45% в сух. в-ве: 20 г"
Овощное рагу цветное `Оранжевый + белый + зеленый`,80.2 кКал,2.1 г,5.7 г,4.4 г,"Морковь (Жарка): 130 г, Цветная капуста (Тушение): 530 г, Брокколи (Тушение): 300 г, Чеснок (Жарка): 40 г, Перец черный,  молотый или горошек: 1 г, Соль поваренная пищевая: 1 г, Вода: 350 г, Подсолнечное масло: 30 г, Оливковое масло: 30 г"
Рыба под маринадом,104.8 кКал,10.3 г,4.4 г,5.7 г,"Треска (Тушение): 651 г, Минтай (Тушение): 790 г, Лук репчатый (Тушение): 269 г, Морковь (Тушение): 177 г, Помидор (томат), грунтовый (Тушение): 684 г, Подсолнечное масло: 85 г, Соль поваренная пищевая: 7 г, Вода водопроводная питьевая: 105 г, Кукурузный крахмал: 85 г"
Суп из свежей капусты на курином бульоне,61.3 кКал,4.9 г,2.3 г,4.9 г,"Бульон куриный: 650 г, Курица, цыплята-бройлеры, грудка, только мясо, тушеное: 98 г, Капуста белокочанная (Варка без слива): 200 г, Лук репчатый (Жарка): 67 г, Морковь (Жарка): 16 г, Перец сладкий красный (Варка без слива): 43 г, Помидор (томат), парниковый (Варка без слива): 52 г, Соль поваренная пищевая: 8 г, Сахар песок: 8 г, Паприка, перец сладкий молотый: 0.2 г, Куркума, молотая: 0.2 г, Перец душистый, молотый: 0.2 г, Перец черный,  молотый или горошек: 0.2 г, Базилик, свежий: 6 г, Сметана 15% жирности: 90 г, Морская капуста (ламинария) сушеная (Варка без слива): 3 г"
"Салат с рукколой, рыбкой и сыром страчателла",131.2 кКал,11.2 г,8.4 г,2.5 г,"Руккола: 100 г, Семга с/с мурманская,филе,стейки: 90 г, Форель с/с атлантическая: 110 г, Кедровый орех, сушеный: 20 г, Каперсы, консервированные: 16 г, Сыр моцарелла, м.д.ж. 34% в сух. в-ве: 120 г, Оливковое масло: 10 г, Огурец грунтовый: 50 г, Помидор (томат), грунтовый: 190 г"
Салат буратта с овощами и красной рыбой,179.8 кКал,8.6 г,14.9 г,2.6 г,"Руккола: 40 г, Помидор (томат), грунтовый: 50 г, Перец сладкий желтый: 30 г, Авокадо: 80 г, Баклажан (Жарка): 150 г, Горчичное масло: 10 г, Сыр Буррата: 150 г, Кедровый орех, сушеный: 10 г, Конопляшки кунжутно кедровые' Алька',: 20 г, Оливковое масло: 10 г, Оливковое масло: 10 г, Соль поваренная пищевая: 0.5 г, Алькина форель: 40 г, Семга соленая: 40 г"
